sentenceID,homophoneID,version,sentenceType,m1,word,m1_relatedness,m2_relatedness,unigram,m1_trigram,m2_trigram
34,34,a,pun,propane,language,-0.975849504,0.813567976,0.000150273,7.13E-05,0.00365472
35,35,a,pun,leafing,leafing,0,0,4.15E-07,4.17E-08,0.000523105
35,35,a,pun,leafing,john,-0.930865719,-0.732594277,0.000260186,6.39E-07,6.39E-07
35,35,a,pun,leafing,plans,0.664976109,0.076967923,9.28E-05,0.000112502,0.000112502
35,35,a,pun,leafing,retire,-1.00566682,0.641089708,8.66E-06,0.00319328,0.00319328
35,35,a,pun,leafing,spring,0.557250604,-0.511549743,4.70E-05,0.00124322,0.00124322
35,35,a,pun,leafing,like,-0.660585383,0.082140175,0.001186943,0.0124801,0.0124801
35,35,a,pun,leafing,trees,1.209997602,-0.476044827,6.48E-05,0.000232797,0.000232797
36,36,a,pun,yams,yams,0,0,1.79E-07,1.02E-07,1.48E-05
36,36,a,pun,yams,just,-0.768492084,-0.934888345,0.00101403,0.000159739,0.000159739
36,36,a,pun,yams,time,-0.981517464,0.021541304,0.001239318,0.212782,0.212782
36,36,a,pun,yams,thanksgiving,1.212957909,-0.425702503,1.50E-06,6.95E-08,6.95E-08
36,36,a,pun,yams,blockbuster,-0.820549264,-0.872240425,9.02E-07,9.10E-06,9.10E-06
36,36,a,pun,yams,movie,-0.711983357,-0.097078622,1.44E-05,0.0026432,0.0026432
36,36,a,pun,yams,sweet,0.677385511,0.053858171,2.80E-05,5.32E-06,5.32E-06
36,36,a,pun,yams,potatoes,1.353283713,-0.268920404,1.28E-05,0.00676358,0.00676358
36,36,a,pun,yams,called,-0.773975142,-0.629178616,0.00026112,0.000356792,0.000356792
36,36,a,pun,yams,the,-0.554968549,-0.643381484,0.048626868,0.152051,0.152051
36,36,a,pun,yams,silence,-0.93384429,0.490500931,4.39E-05,7.33E-05,7.33E-05
37,37,a,pun,tolkien,tolkien,0,0,3.53E-06,0.0150905,0.00136054
37,37,a,pun,tolkien,night,-0.421807519,-0.284385257,0.00028189,0.276901,0.276901
37,37,a,pun,tolkien,kept,-0.910268591,-0.487771094,0.000109856,1.09E-05,1.09E-05
37,37,a,pun,tolkien,dreaming,-0.13577103,-0.35620347,6.31E-06,4.30E-05,4.30E-05
37,37,a,pun,tolkien,written,0.446306691,0.657206796,0.000107783,0.00212419,0.00212419
37,37,a,pun,tolkien,lord,1.160735078,-0.456126881,0.000127756,7.45E-07,7.45E-07
37,37,a,pun,tolkien,rings,1.387542586,-0.938879858,1.24E-05,2.35E-05,2.35E-05
37,37,a,pun,tolkien,wife,-0.607085823,0.180393523,0.000132324,0.000173017,0.000173017
37,37,a,pun,tolkien,said,-0.416466233,1.559672555,0.001573933,0.00139775,0.00139775
37,37,a,pun,tolkien,i'd,-0.866508438,-0.768492084,4.55E-07,1.89E-09,1.89E-09
37,37,a,pun,tolkien,sleep,-0.659335913,-0.549401899,5.81E-05,0.00128327,0.00128327
38,38,a,pun,magnate,magnate,0,0,1.27E-06,1.80E-06,7.41E-05
38,38,a,pun,magnate,people,-0.431309807,-0.033286014,0.000974418,0.0895409,0.0895409
38,38,a,pun,magnate,strongly,0.205205301,0.624197061,3.65E-05,0.000324916,0.000324916
38,38,a,pun,magnate,attracted,0.279602196,0.432189381,2.25E-05,0.0117171,0.0117171
39,39,a,pun,raven,raven,0,0,1.59E-06,3.76E-06,2.96E-05
39,39,a,pun,raven,people,-0.692477372,0.051942857,0.000974418,0.0895409,0.0895409
39,39,a,pun,raven,think,-0.547426766,-0.366756378,0.000704851,0.00534721,0.00534721
39,39,a,pun,raven,edgar,0.755989354,0.668814932,4.37E-06,0.00125842,0.00125842
39,39,a,pun,raven,allan,0.05910036,-0.860964863,8.29E-06,0.0576145,0.0576145
39,39,a,pun,raven,poe,1.347726463,-0.146664918,4.96E-07,0.0576145,0.0576145
39,39,a,pun,raven,madman,0.102235812,1.408360872,1.16E-06,6.35E-07,7.69E-07
40,40,a,pun,alkaline,alkaline,0,0,2.69E-06,4.11E-05,6.03E-05
40,40,a,pun,alkaline,battery,1.206701171,-0.792668572,1.04E-05,2.83E-06,2.83E-06
40,40,a,pun,alkaline,problem,-0.860713606,0.867494647,0.000230092,5.02E-05,0.192777
40,40,a,pun,alkaline,went,-0.731474167,-0.800999628,0.00036822,0.00737786,0.00737786
40,40,a,pun,alkaline,aa,1.043341239,1.622194218,3.89E-06,3.11E-08,3.11E-08
40,40,a,pun,alkaline,meetings,-1.072710013,0.198383999,4.24E-05,4.79E-05,4.79E-05
41,41,a,pun,shave,shave,0,0,2.55E-06,1.02E-06,2.49E-06
41,41,a,pun,shave,boss,-0.507400464,1.072828636,2.58E-05,0.00207698,0.00207698
41,41,a,pun,shave,not,-0.891280856,-0.47745673,0.00346259,0.29367,0.29367
41,41,a,pun,shave,tolerate,-0.737205823,-0.613686324,4.96E-06,0.000149743,0.000149743
41,41,a,pun,shave,beards,0.734259357,0.288613041,9.84E-07,8.55E-07,8.55E-07
41,41,a,pun,shave,mustaches,1.325039479,-0.865224467,8.13E-09,7.50E-07,7.50E-07
41,41,a,pun,shave,real,-0.664275018,-0.3940021,0.000182773,0.00551477,0.00551477
41,41,a,pun,shave,driver,-0.643777786,0.272936473,4.16E-05,2.24E-05,0.00208037
42,42,a,pun,aiken,aiken,0,0,2.68E-07,0.00770689,1.43E-06
42,42,a,pun,aiken,heart,-0.724771037,0.661308045,0.000107336,0.0107335,0.0107335
42,42,a,pun,aiken,starts,-0.748234784,-0.643347041,3.25E-05,0.000196909,0.000196909
42,42,a,pun,aiken,clay,1.199433985,-0.415952447,1.28E-05,7.39E-06,7.39E-06
42,42,a,pun,aiken,sings,0.441021487,-0.710184521,2.50E-06,4.06E-06,4.06E-06
43,43,a,pun,irrigation,irrigation,0,0,2.22E-06,1.45E-06,0.000660083
43,43,a,pun,irrigation,neighbor's,-0.730225151,-0.269612334,8.13E-09,0.000108712,0.000108712
43,43,a,pun,irrigation,sprinkler,1.742975516,-0.685323601,7.48E-07,1.87E-06,1.87E-06
